实验编号,实验日期,实验员,关联项目,目标产品,实验类型,多元醇类型,多元醇用量(份),异氰酸酯类型,NCO/OH摩尔比R,扩链剂类型,扩链剂用量(份),催化剂种类,催化剂用量(%),抗水解剂用量(%),亲水扩链剂DMPA用量(%),溶剂体系,目标固含量(%),预聚温度(℃),预聚时间(h),扩链温度(℃),搅拌转速(rpm),实测NCO%,实测固含量(%),实测粘度(mPa·s),外观,结论,是否达标,备注
EXP-2026-0253,2026-04-04,王芳,—,HD-G206,放大确认,聚己内酯二醇(PCL-2000),100,IPDI,1.139,HDO,13.9,SnOct(辛酸亚锡),0.027,1.0,,DMF/丁酮=6:4,32.2,80,2.1,64,60,4.84,31.7,102171,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0254,2024-11-17,王芳,—,HD-G206,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.114,HDO,10.9,SnOct(辛酸亚锡),0.021,1.5,,DMF/丁酮=7:3,32.2,83,1.9,55,60,4.51,32.3,98892,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0255,2026-03-24,孙丽,—,HD-G206,对比验证,聚己内酯二醇(PCL-2000),100,IPDI,1.119,BDO,9.9,SnOct(辛酸亚锡),0.029,0.5,,DMF/甲苯=8:2,32.2,80,3.0,73,100,4.76,31.8,100528,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0256,2025-07-04,赵敏,—,HD-G206,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.133,EG,10.9,DBTDL(二月桂酸二丁基锡),0.057,0,,DMF/甲苯=8:2,32.2,78,2.9,66,120,4.78,33.1,131410,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0257,2026-07-14,郭燕,—,HD-G206,工艺优化,聚己内酯二醇(PCL-2000),100,IPDI,1.136,BDO,15.3,TEDA(三乙烯二胺),0.023,1.5,,DMF/丁酮=7:3,32.2,80,3.5,70,100,5.23,33.1,122788,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0258,2025-12-05,周涛,—,HD-G206,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.149,EG,12.5,DBTDL(二月桂酸二丁基锡),0.016,0.5,,DMF/丁酮=6:4,32.2,79,1.9,68,80,5.39,32.1,100214,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0259,2026-01-07,赵敏,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.127,BDO,13.2,SnOct(辛酸亚锡),0.016,1.0,,DMF/丁酮=7:3,36.1,84,2.5,70,100,4.89,36.5,95447,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0260,2025-07-05,孙丽,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.133,BDO,12.9,SnOct(辛酸亚锡),0.079,0,,DMF/丁酮=6:4,36.1,77,2.2,57,60,5.31,36.9,98016,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0261,2026-06-01,陈立,RD-2025-008,HD-G207,对比验证,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.123,BDO,10.5,TEDA(三乙烯二胺),0.04,0,,DMF/丁酮=6:4,36.1,81,2.6,62,80,4.58,36.3,96891,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0262,2025-05-01,周涛,RD-2025-008,HD-G207,DOE,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.117,HDO,11.0,SnOct(辛酸亚锡),0.046,1.5,,DMF/丁酮=7:3,36.1,76,1.6,74,100,4.63,36.8,104363,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0263,2025-06-03,王芳,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.106,BDO,8.9,TEDA(三乙烯二胺),0.045,1.0,,DMF/丁酮=6:4,36.1,84,1.8,73,80,4.25,34.6,111339,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0264,2026-07-23,郑凯,RD-2025-008,HD-G207,放大确认,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.096,EG,7.8,DBTDL(二月桂酸二丁基锡),0.042,0,,DMF/甲苯=8:2,36.1,77,3.3,71,120,4.03,36.0,103063,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0265,2025-11-13,赵敏,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.147,BDO,17.4,SnOct(辛酸亚锡),0.042,1.5,,DMF/甲苯=8:2,36.1,79,2.9,58,100,5.48,35.9,116821,微浊,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0266,2025-05-08,孙丽,RD-2025-008,HD-G207,配方筛选,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.086,EG,10.2,TEDA(三乙烯二胺),0.014,1.5,,DMF/丁酮=6:4,36.1,78,2.6,62,60,3.79,35.9,107030,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0267,2025-08-12,郭燕,RD-2025-008,HD-G207,对比验证,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.173,BDO,19.5,TEDA(三乙烯二胺),0.067,1.0,,DMF/丁酮=6:4,36.1,74,1.9,67,100,6.6,35.9,106160,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0268,2026-01-26,林霞,RD-2025-008,HD-G207,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,IPDI,1.112,BDO,12.4,DBTDL(二月桂酸二丁基锡),0.016,0,,DMF/丁酮=6:4,36.1,83,2.6,61,60,4.35,35.8,99467,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0269,2025-05-02,王芳,RD-2025-008,HD-G207,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,H12MDI,1.105,BDO,11.9,TEDA(三乙烯二胺),0.024,0.5,,DMF/丁酮=7:3,36.1,84,3.0,67,80,4.28,35.7,98620,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0270,2024-12-09,陈立,RD-2025-008,HD-G207,配方筛选,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.086,BDO,8.0,SnOct(辛酸亚锡),0.056,0.5,,DMF/甲苯=8:2,36.1,79,3.5,68,120,3.85,36.3,95522,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0271,2026-03-19,周涛,RD-2025-008,HD-G207,DOE,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.1,HDO,9.5,SnOct(辛酸亚锡),0.053,0,,DMF/甲苯=8:2,36.1,73,2.4,66,60,4.15,36.6,103560,微浊,配方满足目标窗口，建议放大,达标,
EXP-2026-0272,2026-02-01,朱军,RD-2025-008,HD-G207,放大确认,聚己内酯二醇(PCL-2000),100,H12MDI,1.105,EG,8.8,DBTDL(二月桂酸二丁基锡),0.034,0.5,,DMF/甲苯=8:2,36.1,75,2.1,55,120,4.11,36.1,101411,微浊,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0273,2025-10-18,李强,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.144,HDO,12.3,SnOct(辛酸亚锡),0.026,1.0,,DMF/丁酮=6:4,36.1,72,3.4,68,100,5.53,36.0,104637,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0274,2026-04-05,朱军,RD-2025-008,HD-G207,对比验证,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.126,BDO,13.7,TEDA(三乙烯二胺),0.019,1.0,,DMF/甲苯=8:2,36.1,79,1.8,74,60,4.7,36.5,94619,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0275,2024-12-18,吴静,RD-2025-008,HD-G207,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.128,EG,13.8,SnOct(辛酸亚锡),0.071,0.5,,DMF/丁酮=7:3,36.1,73,3.1,68,100,5.06,36.3,95314,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0276,2025-03-05,王芳,RD-2025-008,HD-G207,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.09,HDO,7.8,TEDA(三乙烯二胺),0.077,1.5,,DMF/甲苯=8:2,36.1,80,2.4,63,60,3.9,35.8,97786,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0277,2026-03-22,郭燕,—,HD-G208,配方筛选,聚丙二醇(PPG-2000),100,IPDI,1.112,EG,11.8,TEDA(三乙烯二胺),0.065,1.5,,DMF/丁酮=6:4,37.8,74,2.5,64,120,4.24,37.8,90238,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0278,2025-07-20,郑凯,—,HD-G208,对比验证,聚丙二醇(PPG-2000),100,IPDI,1.106,EG,10.6,SnOct(辛酸亚锡),0.045,1.5,,DMF/丁酮=6:4,37.8,80,2.0,65,80,4.05,38.1,96660,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0279,2026-05-29,郭燕,—,HD-G208,DOE,聚丙二醇(PPG-2000),100,MDI,1.087,BDO,7.1,TEDA(三乙烯二胺),0.071,0,,DMF/丁酮=7:3,37.8,73,3.5,64,120,3.85,37.1,103144,微浊,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0280,2026-07-10,周涛,—,HD-G208,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.085,EG,9.9,TEDA(三乙烯二胺),0.041,1.0,,DMF/丁酮=6:4,37.8,74,3.1,58,100,3.6,38.3,103986,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0281,2025-06-22,孙丽,—,HD-G208,DOE,聚丙二醇(PPG-2000),100,MDI,1.147,BDO,17.0,TEDA(三乙烯二胺),0.044,1.5,,DMF/甲苯=8:2,37.8,75,1.6,75,100,5.31,38.3,89979,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2024-0282,2024-09-13,王芳,—,HD-G208,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.098,EG,8.0,TEDA(三乙烯二胺),0.055,0.5,,DMF/丁酮=6:4,37.8,77,3.1,70,60,3.69,37.6,106978,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0283,2025-08-29,郭燕,—,HD-G208,DOE,聚丙二醇(PPG-2000),100,MDI,1.105,BDO,10.9,SnOct(辛酸亚锡),0.07,0.5,,DMF/甲苯=8:2,37.8,74,2.8,59,80,4.11,38.3,87584,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0284,2025-07-03,郭燕,—,HD-G208,配方筛选,聚丙二醇(PPG-2000),100,MDI,1.139,BDO,12.4,DBTDL(二月桂酸二丁基锡),0.064,0,,DMF/丁酮=6:4,37.8,73,1.7,59,100,5.1,38.0,91388,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0285,2026-03-08,陈立,—,HD-G208,放大确认,聚丙二醇(PPG-2000),100,MDI,1.095,EG,7.7,SnOct(辛酸亚锡),0.038,1.0,,DMF/丁酮=7:3,37.8,82,3.4,65,60,3.84,39.7,96731,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0286,2025-05-15,郑凯,—,HD-G208,对比验证,聚丙二醇(PPG-2000),100,MDI,1.096,BDO,8.0,SnOct(辛酸亚锡),0.065,0,,DMF/甲苯=8:2,37.8,76,2.2,55,120,3.69,37.9,96296,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0287,2024-10-19,李强,—,HD-G208,工艺优化,聚丙二醇(PPG-2000),100,MDI,1.113,BDO,9.3,DBTDL(二月桂酸二丁基锡),0.026,1.5,,DMF/丁酮=6:4,37.8,79,1.8,61,120,4.38,38.3,90487,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0288,2024-09-24,朱军,—,HD-G208,DOE,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.12,BDO,13.4,SnOct(辛酸亚锡),0.067,1.5,,DMF/丁酮=7:3,37.8,85,3.0,72,100,4.65,37.5,87775,微浊,粘度异常，复测并排查水分,未达标,
EXP-2025-0289,2025-01-12,何斌,RD-2025-009,HD-G209,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.025,BDO,2.4,SnOct(辛酸亚锡),0.057,0.5,,DMF/丁酮=7:3,35.8,78,2.4,68,80,1.94,35.9,87730,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0290,2025-02-28,林霞,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.055,BDO,5.1,SnOct(辛酸亚锡),0.044,1.0,,DMF/丁酮=7:3,35.8,79,1.7,59,80,2.78,35.9,87580,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0291,2024-12-04,吴静,RD-2025-009,HD-G209,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,H12MDI,1.02,BDO,1.7,DBTDL(二月桂酸二丁基锡),0.021,0,,DMF/丁酮=6:4,35.8,75,2.1,75,60,1.8,35.2,90168,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0292,2025-10-11,吴静,RD-2025-009,HD-G209,对比验证,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.023,BDO,2.2,DBTDL(二月桂酸二丁基锡),0.076,1.5,,DMF/甲苯=8:2,35.8,81,1.6,57,120,1.88,34.7,77752,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0293,2024-09-25,孙丽,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.02,BDO,1.6,SnOct(辛酸亚锡),0.043,1.0,,DMF/甲苯=8:2,35.8,84,2.2,57,80,1.8,35.9,85755,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0294,2025-02-20,朱军,RD-2025-009,HD-G209,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.057,EG,6.3,DBTDL(二月桂酸二丁基锡),0.05,1.0,,DMF/甲苯=8:2,35.8,74,3.1,75,120,2.78,36.8,91267,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0295,2024-10-21,吴静,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.029,EG,3.3,SnOct(辛酸亚锡),,0,,DMF/丁酮=6:4,35.8,78,3.2,56,80,2.07,35.1,88094,微浊,模量偏离目标窗口，需调整R值或多元醇,部分达标,记录缺失(原始纸质记录污损)
EXP-2025-0296,2025-09-05,林霞,RD-2025-009,HD-G209,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,HDI,1.033,EG,2.9,DBTDL(二月桂酸二丁基锡),0.016,0.5,,DMF/甲苯=8:2,35.8,80,2.3,71,100,2.21,36.1,97863,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0297,2025-09-22,林霞,RD-2025-009,HD-G209,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.036,BDO,3.8,TEDA(三乙烯二胺),0.061,0,,DMF/甲苯=8:2,35.8,83,2.4,60,100,2.27,35.9,82047,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0298,2026-01-02,王芳,RD-2025-009,HD-G209,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.042,EG,4.9,TEDA(三乙烯二胺),0.062,0,,DMF/丁酮=7:3,35.8,75,2.5,66,100,2.45,36.6,74814,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0299,2026-01-13,郑凯,RD-2025-009,HD-G209,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.03,BDO,2.6,TEDA(三乙烯二胺),0.049,1.0,,DMF/甲苯=8:2,35.8,83,3.0,65,120,2.11,36.0,86908,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0300,2025-11-18,陈立,RD-2025-009,HD-G209,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.038,HDO,3.3,SnOct(辛酸亚锡),0.044,0,,DMF/丁酮=7:3,35.8,83,2.8,66,100,2.26,36.0,84473,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0301,2026-02-17,林霞,RD-2025-009,HD-G209,放大确认,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.027,EG,3.2,TEDA(三乙烯二胺),0.037,0.5,,DMF/丁酮=7:3,35.8,76,2.6,72,100,2.01,34.9,84565,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0302,2025-03-23,朱军,RD-2025-009,HD-G209,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.058,HDO,6.1,TEDA(三乙烯二胺),0.057,0.5,,DMF/丁酮=7:3,35.8,74,3.5,56,80,2.98,35.7,81089,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0303,2025-04-17,吴静,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.102,BDO,12.1,SnOct(辛酸亚锡),0.015,1.0,,DMF/甲苯=8:2,35.8,79,2.0,57,60,4.09,35.3,91231,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0304,2024-11-28,陈立,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.038,EG,4.0,SnOct(辛酸亚锡),0.071,1.5,,DMF/丁酮=7:3,35.8,84,2.0,57,120,2.29,35.1,95957,微浊,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0305,2025-07-26,吴静,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.114,HDO,10.9,TEDA(三乙烯二胺),0.015,0,,DMF/甲苯=8:2,35.8,74,2.9,71,80,4.15,34.7,90599,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0306,2025-09-30,吴静,RD-2025-009,HD-G209,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,TDI-80,1.02,HDO,2.2,TEDA(三乙烯二胺),0.014,0,,DMF/甲苯=8:2,35.8,75,2.8,61,120,1.8,36.1,98011,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0307,2026-08-07,郭燕,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.077,BDO,6.5,DBTDL(二月桂酸二丁基锡),0.079,1.5,,DMF/丁酮=6:4,35.8,85,2.4,63,60,3.31,35.0,88890,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0308,2025-03-20,王芳,RD-2025-009,HD-G209,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.106,EG,12.2,DBTDL(二月桂酸二丁基锡),0.079,1.5,,DMF/丁酮=6:4,35.8,82,1.8,55,100,4.23,35.8,82223,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0309,2024-09-06,郑凯,RD-2025-009,HD-G209,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.033,BDO,2.9,DBTDL(二月桂酸二丁基锡),0.043,1.5,,DMF/丁酮=7:3,35.8,82,2.5,67,120,2.13,35.8,95518,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0310,2024-12-24,朱军,RD-2025-009,HD-G209,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.048,EG,5.0,DBTDL(二月桂酸二丁基锡),0.076,1.0,,DMF/丁酮=7:3,35.8,85,2.3,74,60,2.59,36.0,89167,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0311,2026-03-11,赵敏,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.079,HDO,8.7,DBTDL(二月桂酸二丁基锡),0.04,0,,DMF/丁酮=7:3,38.7,75,2.0,74,60,3.6,39.0,69756,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0312,2026-01-15,王芳,RD-2024-008,HD-G210,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.02,EG,2.1,DBTDL(二月桂酸二丁基锡),0.041,1.0,,DMF/丁酮=6:4,38.7,75,2.2,56,60,1.8,38.0,71364,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0313,2025-09-11,朱军,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.041,HDO,3.4,TEDA(三乙烯二胺),0.065,0,,DMF/丁酮=7:3,38.7,83,2.3,59,60,2.43,38.6,66744,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2024-0314,2024-11-01,孙丽,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.04,HDO,4.7,SnOct(辛酸亚锡),0.063,0.5,,DMF/甲苯=8:2,38.7,76,2.3,66,100,2.38,38.7,81163,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0315,2026-08-11,陈立,RD-2024-008,HD-G210,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.111,BDO,10.8,SnOct(辛酸亚锡),0.025,0.5,,DMF/丁酮=6:4,38.7,78,1.9,58,60,4.36,39.5,82788,微浊,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0316,2026-04-07,林霞,RD-2024-008,HD-G210,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.086,BDO,8.0,DBTDL(二月桂酸二丁基锡),0.058,1.0,,DMF/甲苯=8:2,38.7,77,1.9,58,100,3.72,38.0,88041,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0317,2024-11-06,周涛,RD-2024-008,HD-G210,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.02,BDO,1.7,SnOct(辛酸亚锡),0.054,1.0,,DMF/甲苯=8:2,38.7,82,3.1,66,120,1.8,38.4,82343,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0318,2026-03-22,何斌,RD-2024-008,HD-G210,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.143,EG,13.8,DBTDL(二月桂酸二丁基锡),0.046,1.5,,DMF/甲苯=8:2,38.7,75,3.3,60,80,4.96,38.7,75842,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0319,2025-07-08,赵敏,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.083,HDO,7.4,SnOct(辛酸亚锡),0.025,0,,DMF/甲苯=8:2,38.7,79,2.3,60,100,3.76,39.6,76403,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0320,2026-05-05,郑凯,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.094,HDO,9.7,SnOct(辛酸亚锡),0.054,0,,DMF/甲苯=8:2,38.7,75,2.6,60,60,3.74,39.5,81871,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0321,2025-06-24,何斌,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.043,BDO,4.3,TEDA(三乙烯二胺),0.012,0.5,,DMF/甲苯=8:2,38.7,74,1.6,64,80,2.47,38.4,70925,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0322,2025-02-03,郭燕,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.055,EG,6.1,DBTDL(二月桂酸二丁基锡),0.076,0,,DMF/丁酮=6:4,38.7,78,3.0,67,120,2.85,37.7,70884,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0323,2024-10-19,周涛,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.02,BDO,2.1,TEDA(三乙烯二胺),0.066,0,,DMF/丁酮=7:3,38.7,79,1.5,68,100,1.8,38.7,83953,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0324,2025-02-15,郑凯,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.089,BDO,9.7,TEDA(三乙烯二胺),0.049,1.0,,DMF/丁酮=6:4,38.7,80,2.0,67,80,3.94,38.3,70128,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0325,2026-05-27,郭燕,RD-2024-008,HD-G210,配方筛选,聚己内酯二醇(PCL-2000),100,HDI,1.023,BDO,2.3,TEDA(三乙烯二胺),0.074,0,,DMF/甲苯=8:2,38.7,74,2.5,57,100,1.88,38.4,82267,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0326,2025-08-10,郑凯,RD-2024-008,HD-G210,对比验证,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.121,BDO,13.8,TEDA(三乙烯二胺),0.05,1.5,,DMF/丁酮=7:3,38.7,82,2.0,73,100,4.91,40.2,70741,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0327,2025-12-21,孙丽,RD-2024-008,HD-G210,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.115,HDO,13.1,TEDA(三乙烯二胺),0.052,0.5,,DMF/丁酮=7:3,38.7,84,1.6,69,60,4.38,39.3,72548,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2024-0328,2024-10-29,王芳,RD-2024-008,HD-G210,DOE,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.043,BDO,4.2,SnOct(辛酸亚锡),0.076,1.0,,DMF/丁酮=6:4,38.7,80,2.4,64,60,2.41,39.4,67806,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0329,2026-08-04,朱军,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.02,BDO,1.8,SnOct(辛酸亚锡),0.064,0,,DMF/丁酮=7:3,38.7,75,3.1,62,60,1.8,37.9,73639,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0330,2025-03-03,王芳,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.071,BDO,7.4,TEDA(三乙烯二胺),0.044,0.5,,DMF/丁酮=6:4,38.7,73,2.8,70,120,3.29,38.0,90899,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0331,2026-05-15,何斌,RD-2024-008,HD-G210,配方筛选,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.145,EG,12.5,DBTDL(二月桂酸二丁基锡),0.046,0.5,,DMF/丁酮=7:3,38.7,77,2.5,73,60,5.04,38.0,76854,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0332,2024-09-17,孙丽,RD-2024-008,HD-G210,工艺优化,聚碳酸酯二醇(PCDL-2000),100,IPDI,1.11,EG,12.4,SnOct(辛酸亚锡),0.018,0.5,,DMF/甲苯=8:2,38.7,80,2.2,65,120,4.44,37.4,68689,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
